Date,Open,High,Low,Close,Adj Close,Volume
03-01-2023,345.5,348.600006,342.809998,346.220001,333.222656,1589700
04-01-2023,348.029999,350.309998,345.079987,347.700012,334.647125,1881000
05-01-2023,344.25,345.140015,340.140015,343.76001,330.855042,1397800
06-01-2023,347.299988,349,340.950012,348.079987,335.012878,3097800
09-01-2023,351.880005,356.5,349.5,353,339.748138,1989000
10-01-2023,352.640015,357.5,350.5,357.359985,343.944458,1610100
11-01-2023,358.869995,365.5,356.209991,364.480011,350.797211,2127000
12-01-2023,366.23999,370.100006,362.570007,369.940002,356.052216,2103100
13-01-2023,363.48999,374.350006,362.359985,374,359.959778,3310200
17-01-2023,364.799988,366.790009,344,349.920013,336.783783,14448300
18-01-2023,348.320007,354.790009,347.799988,349.089996,335.984924,5585200
19-01-2023,346.029999,352.160004,345.519989,350.75,337.582642,3100400
20-01-2023,349.869995,352.25,338.209991,341.839996,329.007111,11247200
23-01-2023,341.670013,349.559998,336.160004,349.140015,336.033081,4915700
24-01-2023,340,350.299988,340,348.329987,335.253418,2372000
25-01-2023,344.75,349.959991,343.899994,349.630005,336.504669,1985200
26-01-2023,351.730011,355,349.519989,354.970001,341.644196,1919200
27-01-2023,351.950012,355.98999,351.829987,353.700012,340.421875,2427400
30-01-2023,353.290009,362.329987,352.399994,357.459991,344.04071,3184500
31-01-2023,359.160004,365.920013,356.859985,365.809998,352.07724,2311500
01-02-2023,359.100006,368.940002,358.76001,365.709991,351.981018,2889400
02-02-2023,368,372.890015,364.549988,369.470001,355.599884,2619600
03-02-2023,365.619995,374.570007,365.440002,369.950012,356.061829,2243100
06-02-2023,369,371.26001,365.779999,370.799988,356.879913,1816200
07-02-2023,368.170013,376.309998,367.339996,374.399994,360.344757,2205500
08-02-2023,372.920013,378.350006,371.980011,375.100006,361.018494,1893200
09-02-2023,377.040009,379.679993,367.799988,367.98999,354.175415,2052500
10-02-2023,367,372.230011,364.559998,371.279999,357.341919,1933400
13-02-2023,369.089996,375.059998,368,374.019989,359.979065,1570600
14-02-2023,373.940002,377.049988,369.380005,371.779999,357.82312,2155500
15-02-2023,368.73999,374.369995,368.25,374.339996,360.287018,1687200
16-02-2023,370.75,374.25,368.799988,370.200012,356.30249,1947800
17-02-2023,368.049988,371.059998,366.859985,368.5,354.66629,1857300
21-02-2023,366.720001,366.720001,360.089996,361.119995,347.563324,2403000
22-02-2023,361.630005,363,358.040009,360.890015,347.341949,2203800
23-02-2023,363.200012,367.880005,359.609985,363.540009,349.892456,1931400
24-02-2023,360.170013,365.179993,359.529999,363.850006,350.190857,2428600
27-02-2023,368.220001,370.299988,364.51001,365.529999,351.8078,2842400
28-02-2023,366,366.01001,351.329987,351.649994,338.448822,4945600
01-03-2023,349.390015,352.540009,345.959991,346.230011,335.618317,2717400
